ydate,cp,upprob,pctg,ydatestr
735759,195.58,0.547414749239869,-0.12271193373556,2014-06-09
735760,195.6,0.562268018892764,-0.357873210633941,2014-06-10
735761,194.92,0.59184894702967,-0.117997127026467,2014-06-11
735762,193.54,0.602127585790899,0.196341841479795,2014-06-12
735763,194.13,0.586111691085743,-0.123628496368418,2014-06-13
735766,194.29,0.598384772712043,-0.138967522775224,2014-06-16
735767,194.83,0.586877893602872,0,2014-06-17
735768,196.26,0.566559081557543,0.0866197900743992,2014-06-18
735769,196.48,0.558263931711172,-0.229030944625401,2014-06-19
735770,195.94,0.589426049395053,0.0255180157191035,2014-06-20
735773,195.88,0.583575302902955,-0.178680824994892,2014-06-23
735774,194.7,0.610832934265657,-0.210580380071904,2014-06-24
735775,195.58,0.605827435750825,0.0153389917169451,2014-06-25
735776,195.44,0.592367873655513,-0.235366352844867,2014-06-26
735777,195.82,0.593672724831768,-0.0612807680522952,2014-06-27
735780,195.72,0.589195430804415,0.245248313917837,2014-06-30
735781,197.03,0.555797708017465,0.0101507384662286,2014-07-01
735782,197.23,0.570326663224321,0.283932464635199,2014-07-02
735783,198.2,0.54922494178498,-0.191725529767909,2014-07-03
735787,197.51,0.589262927713289,-0.182269252189755,2014-07-07
735788,196.24,0.602311729116736,0.249694251936395,2014-07-08
735789,197.12,0.583223421496804,-0.963879870129873,2014-07-09
735790,196.34,0.649634361939315,-0.0611184679637387,2014-07-10
735791,196.61,0.5914310777041,0.508621128121662,2014-07-11
735794,197.6,0.550911022021914,0.0607287449392736,2014-07-14
735795,197.23,0.569078315157458,0.446179587283894,2014-07-15
735796,197.96,0.551651174725611,-0.308143059203886,2014-07-16
735797,195.71,0.614685570505696,0.327014460170654,2014-07-17
735798,197.71,0.568189151109167,-0.313590612513279,2014-07-18
735801,197.34,0.609601449984183,0.339515556906855,2014-07-21
735802,198.2,0.549660098310826,0.151362260343094,2014-07-22
735803,198.64,0.573106786009446,0.0956504228755669,2014-07-23
735804,198.65,0.56354301835506,-0.28190284419834,2014-07-24
735805,197.72,0.60744692979931,0.0202306291725632,2014-07-25
735808,197.8,0.595911872047032,0.187057633973699,2014-07-28
735809,196.95,0.596646211412687,0.355420157400364,2014-07-29
735810,196.98,0.586443071252831,-0.695502081429575,2014-07-30
735811,193.09,0.670463891719501,-0.274483401522607,2014-07-31
735812,192.5,0.658072572393305,0.192207792207795,2014-08-01
735815,193.89,0.620958336997074,-0.407447521790702,2014-08-04
735816,192.01,0.64107450036765,-0.468725587208988,2014-08-05
735817,192.07,0.64382811228945,0.452959858384966,2014-08-06
735818,191.03,0.59801265337853,0.225095534732768,2014-08-07
735819,193.24,0.569057865672193,0.37776857793417,2014-08-08
735822,193.8,0.561381962678391,-0.0980392156862733,2014-08-11
735823,193.53,0.573674968570375,0.392703973544149,2014-08-12
735824,194.84,0.551483295084285,0.164237322931633,2014-08-13
735825,195.76,0.543351885272317,0.362689006947286,2014-08-14
735826,195.72,0.540952875749331,0.55180870631515,2014-08-15
735829,197.36,0.526596796462443,0.243210376976079,2014-08-18
735830,198.39,0.532694457542685,-0.136095569333123,2014-08-19
735831,198.92,0.550141115868544,0.0854614920571164,2014-08-20
735832,199.5,0.545387665868146,-0.0802005012531311,2014-08-21
735833,199.19,0.567069639335674,0.476931572870118,2014-08-22
735836,200.2,0.538791540107804,0.0649350649350769,2014-08-25
735837,200.33,0.563667644449781,0.0499176359007609,2014-08-26
735838,200.25,0.570905933418633,-0.329588014981272,2014-08-27
735839,200.14,0.596514352650917,0.154891575896873,2014-08-28
735840,200.71,0.564938143960991,0.129540132529516,2014-08-29
